salary,count
30000-35000,13
35000-40000,7
40000-45000,34
45000-50000,7
50000-55000,28
55000-60000,12
60000-65000,26
65000-70000,24
70000-75000,18
75000-80000,104
80000-85000,86
85000-90000,35
90000-95000,26
95000-100000,14
100000-105000,99
105000-110000,22
110000-115000,17
115000-120000,11
120000-125000,169
125000-130000,19
130000-135000,21
135000-140000,11
140000-145000,18
145000-150000,27
150000-155000,23
155000-160000,18
160000-165000,266
165000-170000,67
170000-175000,43
175000-180000,7
180000-185000,13
185000-190000,72
190000-195000,4
195000-200000,5
200000-205000,12
205000-210000,29
210000-215000,54
220000-225000,9
225000-230000,3
230000-235000,32
235000-240000,4
240000-245000,2
250000-255000,26
255000-260000,1
265000-270000,18
270000-275000,1
275000-280000,1
280000-285000,9
285000-290000,1
290000-295000,10
295000-300000,1
300000-305000,1
310000-315000,2
325000-330000,1
330000-335000,1
375000-380000,1
380000-385000,1
470000-475000,1
550000-555000,2
650000-655000,1
725000-730000,1
750000-755000,1
995000-1000000,1
